asset,announcement_date,ex_date,record_date,pay_date,amount_per_share,amount_per_10,currency,source_url,source_sha256,source_type,pay_date_assumed,adjustment_price_date,adjustment_factor,status,message
nasdaq100,,2012-09-21,,2012-09-21,0.2,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2012-09-21,0.9971570718456,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2012-12-21,,2012-12-21,0.367,,USD,https://query2.finance.yahoo.com/v8/finance/chart/QQQ?period1=1104537600&period2=1787103228&interval=1d&events=history%2Cdiv&includeAdjustedClose=true,f3e386fbedd190ee9f84132f882eaef1207e8baba1349a8efd01fd4b863d9e42,Yahoo Finance chart dividend event,True,2012-12-21,0.9944026718153691,applied,Yahoo chart provides ex-date and amount but no payment date; cash is credited on ex-date.
nasdaq100,,2013-03-15,2013-03-19,2013-04-30,0.15931,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2013-03-15,0.9976800408356508,applied,
nasdaq100,,2013-06-21,2013-06-25,2013-07-31,0.22361,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2013-06-21,0.9968351228049898,applied,
nasdaq100,,2013-09-20,2013-09-24,2013-10-31,0.23771,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2013-09-20,0.9969996607700838,applied,
nasdaq100,,2013-12-20,2013-12-24,2013-12-31,0.27241,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2013-12-20,0.996860638076089,applied,
nasdaq100,,2014-02-27,2014-03-03,2014-03-07,0.37313,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2014-02-27,0.9958912330191809,applied,
nasdaq100,,2014-03-21,2014-03-25,2014-04-30,0.20606,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2014-03-21,0.9976900672443106,applied,
nasdaq100,,2014-06-20,2014-06-24,2014-07-31,0.2491,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2014-06-20,0.9973220552661799,applied,
nasdaq100,,2014-09-19,2014-09-23,2014-10-31,0.2378,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2014-09-19,0.9976271681075163,applied,
nasdaq100,,2014-12-19,2014-12-23,2014-12-31,0.38681,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2014-12-19,0.9963057799093737,applied,
nasdaq100,,2015-03-20,2015-03-24,2015-04-30,0.24806,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2015-03-20,0.9977195768817377,applied,
nasdaq100,,2015-06-19,2015-06-23,2015-07-31,0.25416,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2015-06-19,0.9976924786442749,applied,
nasdaq100,,2015-09-18,2015-09-22,2015-10-30,0.26002,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2015-09-18,0.9975379229758992,applied,
nasdaq100,,2015-12-18,2015-12-22,2015-12-31,0.34233,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2015-12-18,0.9968927770311247,applied,
nasdaq100,,2016-03-18,2016-03-22,2016-04-29,0.3178,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2016-03-18,0.9970488765496694,applied,
nasdaq100,,2016-06-17,2016-06-21,2016-07-29,0.28665,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2016-06-17,0.9973154242455174,applied,
nasdaq100,,2016-09-16,2016-09-20,2016-10-31,0.29387,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2016-09-16,0.997500762666581,applied,
nasdaq100,,2016-12-16,2016-12-20,2016-12-30,0.35494,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2016-12-16,0.997041055545399,applied,
nasdaq100,,2017-03-17,2017-03-21,2017-04-28,0.27415,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2017-03-17,0.9979225418802904,applied,
nasdaq100,,2017-06-16,2017-06-20,2017-07-31,0.37842,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2017-06-16,0.9972682860551426,applied,
nasdaq100,,2017-09-18,2017-09-19,2017-10-31,0.31938,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2017-09-18,0.9978105069527395,applied,
nasdaq100,,2017-12-18,2017-12-19,2017-12-29,0.32941,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2017-12-18,0.9979278403230865,applied,
nasdaq100,,2018-03-19,2018-03-20,2018-04-30,0.27655,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2018-03-19,0.9983477375419951,applied,
nasdaq100,,2018-06-18,2018-06-19,2018-07-31,0.37837,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2018-06-18,0.9978608464110112,applied,
nasdaq100,,2018-09-24,2018-09-25,2018-10-31,0.32975,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2018-09-24,0.998210018192444,applied,
nasdaq100,,2018-12-24,2018-12-26,2018-12-31,0.42061,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2018-12-24,0.9970774859834182,applied,
nasdaq100,,2019-03-18,2019-03-19,2019-04-30,0.32421,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2019-03-18,0.9981864833549849,applied,
nasdaq100,,2019-06-24,2019-06-25,2019-07-31,0.41558,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2019-06-24,0.9977962152261205,applied,
nasdaq100,,2019-09-23,2019-09-24,2019-10-31,0.38415,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2019-09-23,0.9979875227985141,applied,
nasdaq100,,2019-12-23,2019-12-24,2019-12-31,0.45765,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2019-12-23,0.9978439955157383,applied,
nasdaq100,,2020-03-23,2020-03-24,2020-04-30,0.36269,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2020-03-23,0.9978768043885439,applied,
nasdaq100,,2020-06-22,2020-06-23,2020-07-31,0.42426,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2020-06-22,0.9982834897303885,applied,
nasdaq100,,2020-09-21,2020-09-22,2020-10-30,0.38824,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2020-09-21,0.9985507930703554,applied,
nasdaq100,,2020-12-21,2020-12-22,2020-12-31,0.56133,,USD,https://api.nasdaq.com/api/quote/QQQ/dividends?assetclass=etf,56f47aeaad32fb82832c9b02e7acfb4549ddc60f53620b212d5167fb799f8148,,,2020-12-21,0.9981862234608948,applied,
